section_id	section_title	paper_id	why
3.1	Agent loop and action spaces	P0013	Matches subsection 'Agent loop and action spaces' via shared terms (loop, action, agent) in the paper title/abstract. (also mapped 1× already)
3.1	Agent loop and action spaces	P0045	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
3.1	Agent loop and action spaces	P0029	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0141	Matches subsection 'Agent loop and action spaces' via shared terms (agent, action, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0103	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0124	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract. (also mapped 1× already)
3.1	Agent loop and action spaces	P0049	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0055	Matches subsection 'Agent loop and action spaces' via shared terms (agent, loop, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0255	Matches subsection 'Agent loop and action spaces' via shared terms (agent, act, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0300	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0201	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, compute) in the paper title/abstract. (also mapped 1× already)
3.1	Agent loop and action spaces	P0047	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0052	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
3.1	Agent loop and action spaces	P0058	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0071	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, core) in the paper title/abstract.
3.1	Agent loop and action spaces	P0175	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
