section_id	section_title	paper_id	why
3.1	Agent loop and action spaces	P0041	Matches subsection 'Agent loop and action spaces' via shared terms (loop, action, agent) in the paper title/abstract. (also mapped 1× already)
3.1	Agent loop and action spaces	P0121	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0023	Matches subsection 'Agent loop and action spaces' via shared terms (action, agent, action) in the paper title/abstract.
3.1	Agent loop and action spaces	P0125	Matches subsection 'Agent loop and action spaces' via shared terms (agent, action, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0156	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0177	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0103	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract. (also mapped 1× already)
3.1	Agent loop and action spaces	P0092	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract. (also mapped 1× already)
3.1	Agent loop and action spaces	P0295	Matches subsection 'Agent loop and action spaces' via shared terms (agent, act, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0299	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
3.1	Agent loop and action spaces	P0012	Matches subsection 'Agent loop and action spaces' via shared terms (action, action, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0030	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
3.1	Agent loop and action spaces	P0159	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0201	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0232	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, core) in the paper title/abstract.
3.1	Agent loop and action spaces	P0045	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract. (also mapped 1× already)
3.1	Agent loop and action spaces	P0291	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, design) in the paper title/abstract.
3.1	Agent loop and action spaces	P0040	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0047	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0119	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, environment) in the paper title/abstract.
3.1	Agent loop and action spaces	P0173	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
