paper_id,title,year,url,arxiv_id,primary_category,categories,pdf_url,topic,reason
P0001,ReAct: Synergizing Reasoning and Acting in Language Models,2022,http://arxiv.org/abs/2210.03629v3,2210.03629v3,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2210.03629v3,,ranked_by=relevance;score=999;pinned_classic
P0002,Toolformer: Language Models Can Teach Themselves to Use Tools,2023,http://arxiv.org/abs/2302.04761v1,2302.04761v1,cs.CL,cs.CL,https://arxiv.org/pdf/2302.04761v1,,ranked_by=relevance;score=999;pinned_classic
P0003,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,http://arxiv.org/abs/2303.11366v4,2303.11366v4,cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2303.11366v4,,ranked_by=relevance;score=999;pinned_classic
P0004,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,http://arxiv.org/abs/2305.10601v2,2305.10601v2,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2305.10601v2,,ranked_by=relevance;score=999;pinned_classic
P0005,Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,http://arxiv.org/abs/2305.16291v2,2305.16291v2,cs.AI,"cs.AI,cs.LG",https://arxiv.org/pdf/2305.16291v2,,ranked_by=relevance;score=999;pinned_classic
P0006,"Empowering Real-World: A Survey on the Technology, Practice, and Evaluation of LLM-driven Industry Agents",2025,http://arxiv.org/abs/2510.17491v1,2510.17491v1,cs.CL,cs.CL,https://arxiv.org/pdf/2510.17491v1,,ranked_by=relevance;score=13;prior_survey
P0007,An In-depth Survey of Large Language Model-based Artificial Intelligence Agents,2023,http://arxiv.org/abs/2309.14365v1,2309.14365v1,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2309.14365v1,,ranked_by=relevance;score=12;prior_survey
P0008,"Agentic Large Language Models, a survey",2025,http://arxiv.org/abs/2503.23037v3,2503.23037v3,cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2503.23037v3,,ranked_by=relevance;score=11;prior_survey
P0009,From Language to Action: A Review of Large Language Models as Autonomous Agents and Tool Users,2025,http://arxiv.org/abs/2508.17281v2,2508.17281v2,cs.CL,cs.CL,https://arxiv.org/pdf/2508.17281v2,,ranked_by=relevance;score=11;prior_survey
P0010,Generalizability of Large Language Model-Based Agents: A Comprehensive Survey,2025,http://arxiv.org/abs/2509.16330v1,2509.16330v1,cs.AI,cs.AI,https://arxiv.org/pdf/2509.16330v1,,ranked_by=relevance;score=11;prior_survey
P0011,A Survey on Agentic Multimodal Large Language Models,2025,http://arxiv.org/abs/2510.10991v1,2510.10991v1,cs.CV,"cs.CV,cs.AI,cs.CL",https://arxiv.org/pdf/2510.10991v1,,ranked_by=relevance;score=10;prior_survey
P0012,LLMs Working in Harmony: A Survey on the Technological Aspects of Building Effective LLM-Based Multi Agent Systems,2025,http://arxiv.org/abs/2504.01963v1,2504.01963v1,cs.MA,"cs.MA,cs.AI,cs.CL",https://arxiv.org/pdf/2504.01963v1,,ranked_by=relevance;score=10;prior_survey
P0013,Bridging Symbolic Control and Neural Reasoning in LLM Agents: The Structured Cognitive Loop,2025,http://arxiv.org/abs/2511.17673v3,2511.17673v3,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2511.17673v3,,ranked_by=relevance;score=10
P0014,ReAcTree: Hierarchical LLM Agent Trees with Control Flow for Long-Horizon Task Planning,2025,http://arxiv.org/abs/2511.02424v1,2511.02424v1,cs.AI,cs.AI,https://arxiv.org/pdf/2511.02424v1,,ranked_by=relevance;score=10
P0015,"Review of Case-Based Reasoning for LLM Agents: Theoretical Foundations, Architectural Components, and Cognitive Integration",2025,http://arxiv.org/abs/2504.06943v2,2504.06943v2,cs.AI,"cs.AI,cs.MA",https://arxiv.org/pdf/2504.06943v2,,ranked_by=relevance;score=10
P0016,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",2024,http://arxiv.org/abs/2406.05804v6,2406.05804v6,cs.AI,"cs.AI,cs.CL,cs.SE",https://arxiv.org/pdf/2406.05804v6,,ranked_by=relevance;score=10
P0017,Causal Agent based on Large Language Model,2024,http://arxiv.org/abs/2408.06849v2,2408.06849v2,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2408.06849v2,,ranked_by=relevance;score=10
P0018,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,2024,http://arxiv.org/abs/2402.01680v2,2402.01680v2,cs.CL,"cs.CL,cs.AI,cs.MA",https://arxiv.org/pdf/2402.01680v2,,ranked_by=relevance;score=10
P0019,"Personal LLM Agents: Insights and Survey about the Capability, Efficiency and Security",2024,http://arxiv.org/abs/2401.05459v2,2401.05459v2,cs.HC,"cs.HC,cs.AI,cs.SE",https://arxiv.org/pdf/2401.05459v2,,ranked_by=relevance;score=10
P0020,The RL/LLM Taxonomy Tree: Reviewing Synergies Between Reinforcement Learning and Large Language Models,2024,http://arxiv.org/abs/2402.01874v1,2402.01874v1,cs.CL,"cs.CL,cs.AI,cs.LG,cs.RO",https://arxiv.org/pdf/2402.01874v1,,ranked_by=relevance;score=10
P0021,BackdoorAgent: A Unified Framework for Backdoor Attacks on LLM-based Agents,2026,http://arxiv.org/abs/2601.04566v2,2601.04566v2,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2601.04566v2,,ranked_by=relevance;score=9
P0022,Beyond Max Tokens: Stealthy Resource Amplification via Tool Calling Chains in LLM Agents,2026,http://arxiv.org/abs/2601.10955v1,2601.10955v1,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2601.10955v1,,ranked_by=relevance;score=9
P0023,Modeling LLM Agent Reviewer Dynamics in Elo-Ranked Review System,2026,http://arxiv.org/abs/2601.08829v1,2601.08829v1,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.08829v1,,ranked_by=relevance;score=9
P0024,A Survey of Large Language Model Agents for Question Answering,2025,http://arxiv.org/abs/2503.19213v1,2503.19213v1,cs.CL,"cs.CL,cs.AI,cs.HC",https://arxiv.org/pdf/2503.19213v1,,ranked_by=relevance;score=9
P0025,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,2025,http://arxiv.org/abs/2503.09648v1,2503.09648v1,cs.MA,"cs.MA,cs.CY",https://arxiv.org/pdf/2503.09648v1,,ranked_by=relevance;score=9
P0026,A Survey on the Optimization of Large Language Model-based Agents,2025,http://arxiv.org/abs/2503.12434v1,2503.12434v1,cs.AI,cs.AI,https://arxiv.org/pdf/2503.12434v1,,ranked_by=relevance;score=9
P0027,Agentic Reasoning: A Streamlined Framework for Enhancing LLM Reasoning with Agentic Tools,2025,http://arxiv.org/abs/2502.04644v2,2502.04644v2,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2502.04644v2,,ranked_by=relevance;score=9
P0028,Can Compressed LLMs Truly Act? An Empirical Evaluation of Agentic Capabilities in LLM Compression,2025,http://arxiv.org/abs/2505.19433v2,2505.19433v2,cs.LG,cs.LG,https://arxiv.org/pdf/2505.19433v2,,ranked_by=relevance;score=9
